t_wall,id,putio_status,lifecycle_state,percent_done,putio_pct,local_present,local_dl,local_total
0.0,4001,DOWNLOADING,None,0,0,False,,
0.0,4002,IN_QUEUE,None,0,0,False,,
0.0,4003,IN_QUEUE,None,0,0,False,,
0.0,4004,IN_QUEUE,None,0,0,False,,
0.06,4002,IN_QUEUE,None,0,0,False,,
0.06,4003,IN_QUEUE,None,0,0,False,,
0.06,4004,IN_QUEUE,None,0,0,False,,
0.06,4001,DOWNLOADING,None,0,0,False,,
0.12,4001,DOWNLOADING,None,0,0,False,,
0.12,4002,IN_QUEUE,None,0,0,False,,
0.12,4003,IN_QUEUE,None,0,0,False,,
0.12,4004,IN_QUEUE,None,0,0,False,,
0.18,4002,IN_QUEUE,None,0,0,False,,
0.18,4003,IN_QUEUE,None,0,0,False,,
0.18,4004,IN_QUEUE,None,0,0,False,,
0.18,4001,DOWNLOADING,None,0,0,False,,
0.24,4001,DOWNLOADING,None,0,0,False,,
0.24,4002,IN_QUEUE,None,0,0,False,,
0.24,4003,IN_QUEUE,None,0,0,False,,
0.24,4004,IN_QUEUE,None,0,0,False,,
0.3,4001,DOWNLOADING,None,0,0,False,,
0.3,4002,IN_QUEUE,None,0,0,False,,
0.3,4003,IN_QUEUE,None,0,0,False,,
0.3,4004,IN_QUEUE,None,0,0,False,,
0.36,4001,DOWNLOADING,None,0,0,False,,
0.36,4002,IN_QUEUE,None,0,0,False,,
0.36,4003,IN_QUEUE,None,0,0,False,,
0.36,4004,IN_QUEUE,None,0,0,False,,
0.44,4001,DOWNLOADING,None,0,0,False,,
0.44,4002,IN_QUEUE,None,0,0,False,,
0.44,4003,IN_QUEUE,None,0,0,False,,
0.44,4004,IN_QUEUE,None,0,0,False,,
0.51,4001,DOWNLOADING,None,0,0,False,,
0.51,4002,IN_QUEUE,None,0,0,False,,
0.51,4003,IN_QUEUE,None,0,0,False,,
0.51,4004,IN_QUEUE,None,0,0,False,,
0.58,4001,DOWNLOADING,None,0,0,False,,
0.58,4002,IN_QUEUE,None,0,0,False,,
0.58,4003,IN_QUEUE,None,0,0,False,,
0.58,4004,IN_QUEUE,None,0,0,False,,
0.65,4001,DOWNLOADING,None,0,0,False,,
0.65,4002,IN_QUEUE,None,0,0,False,,
0.65,4003,IN_QUEUE,None,0,0,False,,
0.65,4004,IN_QUEUE,None,0,0,False,,
0.71,4001,DOWNLOADING,None,0,0,False,,
0.71,4002,IN_QUEUE,None,0,0,False,,
0.71,4003,IN_QUEUE,None,0,0,False,,
0.71,4004,IN_QUEUE,None,0,0,False,,
0.78,4001,DOWNLOADING,None,0,0,False,,
0.78,4002,IN_QUEUE,None,0,0,False,,
0.78,4003,IN_QUEUE,None,0,0,False,,
0.78,4004,IN_QUEUE,None,0,0,False,,
0.84,4001,DOWNLOADING,None,0,0,False,,
0.84,4002,IN_QUEUE,None,0,0,False,,
0.84,4003,IN_QUEUE,None,0,0,False,,
0.84,4004,IN_QUEUE,None,0,0,False,,
0.91,4001,DOWNLOADING,None,0,0,False,,
0.91,4002,IN_QUEUE,None,0,0,False,,
0.91,4003,IN_QUEUE,None,0,0,False,,
0.91,4004,IN_QUEUE,None,0,0,False,,
0.96,4001,DOWNLOADING,None,0.13,26,False,,
0.96,4002,DOWNLOADING,None,0.015,3,False,,
0.96,4003,DOWNLOADING,None,0.15,30,False,,
0.96,4004,DOWNLOADING,None,0.11,22,False,,
1.02,4001,DOWNLOADING,None,0.13,26,False,,
1.02,4002,DOWNLOADING,None,0.015,3,False,,
1.02,4003,DOWNLOADING,None,0.15,30,False,,
1.02,4004,DOWNLOADING,None,0.11,22,False,,
1.08,4001,DOWNLOADING,None,0.13,26,False,,
1.08,4002,DOWNLOADING,None,0.015,3,False,,
1.08,4003,DOWNLOADING,None,0.15,30,False,,
1.08,4004,DOWNLOADING,None,0.11,22,False,,
1.15,4001,DOWNLOADING,None,0.13,26,False,,
1.15,4002,DOWNLOADING,None,0.015,3,False,,
1.15,4003,DOWNLOADING,None,0.15,30,False,,
1.15,4004,DOWNLOADING,None,0.11,22,False,,
1.21,4001,DOWNLOADING,None,0.13,26,False,,
